FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230113;0000;8;;;
230113;0100;12;;;
230113;0200;10;;;
230113;0300;6;;;
230113;0400;1;;;
230113;0500;1;;;
230113;0600;3;;;
230113;0700;2;;;
230113;0800;4;;;
230113;0900;5;;;
230113;1000;5;;;
230113;1100;8;;;
230113;1200;7;;;
230113;1300;5;;;
230113;1400;3;;;
230113;1500;1;;;
230113;1600;1;;;
230113;1700;3;;;
230113;1800;4;;;
230113;1900;6;;;
230113;2000;13;;;
230113;2100;7;;;
230113;2200;7;;;
230113;2300;5;;;
230114;0000;1;;;
230114;0100;1;;;
230114;0200;5;;;
230114;0300;4;;;
230114;0400;1;;;
230114;0500;5;;;
230114;0600;5;;;
230114;0700;13;;;
230114;0800;9;;;
230114;0900;6;;;
230114;1000;4;;;
230114;1100;6;;;
230114;1200;4;;;
230114;1300;4;;;
230114;1400;2;;;
230114;1500;1;;;
230114;1600;1;;;
230114;1700;2;;;
230114;1800;3;;;
230114;1900;7;;;
230114;2000;16;;;
230114;2100;17;;;
230114;2200;62;;;
230114;2300;22;;;
230115;0000;20;;;
230115;0100;1;;;
230115;0200;1;;;
230115;0300;1;;;
230115;0400;1;;;
230115;0500;4;;;
230115;0600;18;;;
230115;0700;5;;;
230115;0800;5;;;
230115;0900;4;;;
230115;1000;3;;;
230115;1100;3;;;
230115;1200;2;;;
230115;1300;3;;;
230115;1400;4;;;
230115;1500;2;;;
230115;1600;2;;;
230115;1700;6;;;
230115;1800;3;;;
230115;1900;1;;;
230115;2000;5;;;
230115;2100;4;;;
230115;2200;6;;;
230115;2300;6;;;
230116;0000;7;;;
230116;0100;4;;;
230116;0200;2;;;
230116;0300;1;;;
230116;0400;2;;;
230116;0500;4;;;
230116;0600;23;;;
230116;0700;8;;;
230116;0800;10;;;
230116;0900;8;;;
230116;1000;6;;;
230116;1100;5;;;
230116;1200;4;;;
230116;1300;2;;;
230116;1400;2;;;
230116;1500;4;;;
230116;1600;1;;;
230116;1700;1;;;
230116;1800;1;;;
230116;1900;3;;;
230116;2000;6;;;
230116;2100;5;;;
230116;2200;3;;;
230116;2300;2;;;
230117;0000;1;;;
230117;0100;1;;;
230117;0200;1;;;
230117;0300;1;;;
230117;0400;1;;;
230117;0500;7;;;
230117;0600;5;;;
230117;0700;6;;;
230117;0800;9;;;
230117;0900;5;;;
230117;1000;4;;;
230117;1100;5;;;
230117;1200;3;;;
230117;1300;5;;;
230117;1400;5;;;
230117;1500;3;;;
230117;1600;2;;;
230117;1700;1;;;
230117;1800;3;;;
230117;1900;2;;;
230117;2000;4;;;
230117;2100;4;;;
230117;2200;30;;;
230117;2300;2;;;
230118;0000;2;;;
230118;0100;3;;;
230118;0200;2;;;
