date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-03-22 00:00:00,10.8,5.8,20.9,0,,319,15.6,,1017.3,
2023-03-23 00:00:00,12.2,7,18.5,0,,233,10.2,,1018.7,
2023-03-24 00:00:00,10.5,5.7,16.5,1,,355,16.4,,1014.9,
2023-03-25 00:00:00,8.2,2,15.2,0,,316,8.6,,1022.5,
2023-03-26 00:00:00,9,1,19,0,,354,8.9,,1016.6,
2023-03-27 00:00:00,10,5.5,19.3,3.3,,356,15,,1000.1,
2023-03-28 00:00:00,3.6,1,5.1,16.8,,6,8.5,,1001.8,
2023-03-29 00:00:00,4.5,0.2,10,16.7,,33,13.3,,1010.2,
2023-03-30 00:00:00,5.8,1,12,8.2,,342,8.9,,1017.5,
2023-03-31 00:00:00,3.7,-0.1,12.8,0,,28,11.3,,1019.3,
2023-04-01 00:00:00,9.1,4.9,15,11.1,,287,14,,1009,
2023-04-02 00:00:00,7.9,1.7,13.2,0,,278,8.3,,1016.3,
2023-04-03 00:00:00,10.9,6.7,15,0.2,,20,9.7,,1014.3,
2023-04-04 00:00:00,12,10,14,6.6,,34,13.1,,1009.9,
2023-04-05 00:00:00,12,7,18,2.6,,267,10.2,,1003.4,
2023-04-06 00:00:00,8,4.2,12,4.9,,294,12.4,,1015.1,
2023-04-07 00:00:00,6.7,0,13,0,,244,10,,1019.9,
2023-04-08 00:00:00,7.6,1,15.6,0.5,,23,14.1,,1014.5,
2023-04-09 00:00:00,10.4,6.2,16,3.2,,22,13.6,,1014.8,
2023-04-10 00:00:00,5.2,0.7,16.9,0,,288,5.9,,1017.9,
2023-04-11 00:00:00,4.8,-3,15.6,0,,301,6.8,,1016.1,
2023-04-12 00:00:00,4.2,-2.3,13,0,,224,10.5,,1024.4,
2023-04-13 00:00:00,2.8,-5.9,14.2,0,,247,8.8,,1019.8,
2023-04-14 00:00:00,4.3,-4,14.6,0,,348,7.6,,1018.5,
2023-04-15 00:00:00,5.1,-2.7,15,0,,345,8.8,,1022.9,
2023-04-16 00:00:00,6,0,12,0,,342,9.8,,1018.6,
2023-04-17 00:00:00,4.8,0,13.1,0,,299,14,,1013.1,
2023-04-18 00:00:00,11.8,8,14.7,0,,265,16.4,,1008.3,
2023-04-19 00:00:00,13,9.6,17.3,0,,297,12.7,,1015,
2023-04-20 00:00:00,12.7,8.5,17.8,0,,48,14.7,,1008.6,
2023-04-21 00:00:00,10.8,4.4,14.5,0.9,,310,12.2,,1012.6,
