FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230109;2100;0,26;;;
230109;2200;0,14;;;
230109;2300;0,16;;;
230110;0000;0,14;;;
230110;0100;0,13;;;
230110;0200;0,13;;;
230110;0300;0,1;;;
230110;0400;0,11;;;
230110;0500;0,11;;;
230110;0600;0,19;;;
230110;0700;0,17;;;
230110;0800;0,24;;;
230110;0900;0,26;;;
230110;1000;0,27;;;
230110;1100;0,23;;;
230110;1200;0,31;;;
230110;1300;0,45;;;
230110;1400;0,45;;;
230110;1500;0,6;;;
230110;1600;0,49;;;
230110;1700;0,63;;;
230110;1800;0,58;;;
230110;1900;0,54;;;
230110;2000;0,57;;;
230110;2100;0,55;;;
230110;2200;0,46;;;
230110;2300;0,52;;;
230111;0000;0,34;;;
230111;0100;0,36;;;
230111;0200;0,19;;;
230111;0300;0,14;;;
230111;0400;0,14;;;
230111;0500;0,12;;;
230111;0600;0,16;;;
230111;0700;0,27;;;
230111;0800;0,23;;;
230111;0900;0,18;;;
230111;1000;0,15;;;
230111;1100;0,16;;;
230111;1200;0,14;;;
230111;1300;0,11;;;
230111;1400;0,13;;;
230111;1500;0,14;;;
230111;1600;0,15;;;
230111;1700;0,19;;;
230111;1800;0,18;;;
230111;1900;0,2;;;
230111;2000;0,33;;;
230111;2100;0,4;;;
230111;2200;0,36;;;
230111;2300;0,3;;;
230112;0000;0,27;;;
230112;0100;0,47;;;
230112;0200;0,33;;;
230112;0300;0,18;;;
230112;0400;0,23;;;
230112;0500;0,18;;;
230112;0600;0,23;;;
230112;0700;0,14;;;
230112;0800;0,13;;;
230112;0900;0,11;;;
230112;1000;0,12;;;
230112;1100;0,11;;;
230112;1200;0,1;;;
230112;1300;0,11;;;
230112;1400;0,1;;;
230112;1500;0,1;;;
230112;1600;0,1;;;
230112;1700;;;;
230112;1800;0,1;;;
230112;1900;0,11;;;
230112;2000;0,22;;;
230112;2100;0,22;;;
230112;2200;0,35;;;
230112;2300;0,45;;;
230113;0000;0,25;;;
230113;0100;0,34;;;
230113;0200;0,28;;;
230113;0300;0,11;;;
230113;0400;0,1;;;
230113;0500;0,1;;;
230113;0600;0,1;;;
230113;0700;0,12;;;
230113;0800;0,14;;;
230113;0900;0,14;;;
230113;1000;0,14;;;
230113;1100;0,12;;;
230113;1200;0,11;;;
230113;1300;0,1;;;
230113;1400;0,11;;;
230113;1500;0,1;;;
230113;1600;0,11;;;
230113;1700;0,11;;;
230113;1800;0,12;;;
230113;1900;0,18;;;
230113;2000;0,18;;;
230113;2100;0,19;;;
230113;2200;0,16;;;
230113;2300;0,14;;;
230114;0000;0,12;;;
230114;0100;0,11;;;
230114;0200;0,1;;;
230114;0300;0,1;;;
230114;0400;0,1;;;
230114;0500;0,1;;;
230114;0600;0,11;;;
230114;0700;0,14;;;
230114;0800;0,12;;;
230114;0900;0,13;;;
230114;1000;0,12;;;
230114;1100;0,1;;;
230114;1200;0,11;;;
230114;1300;0,11;;;
230114;1400;0,1;;;
230114;1500;0,1;;;
230114;1600;0,1;;;
230114;1700;0,1;;;
230114;1800;0,1;;;
230114;1900;0,11;;;
230114;2000;0,17;;;
230114;2100;0,26;;;
230114;2200;0,37;;;
230114;2300;0,61;;;
230115;0000;0,64;;;
230115;0100;0,32;;;
230115;0200;0,11;;;
230115;0300;0,11;;;
230115;0400;0,11;;;
230115;0500;0,19;;;
230115;0600;0,22;;;
230115;0700;0,1;;;
230115;0800;0,1;;;
230115;0900;0,1;;;
230115;1000;0,1;;;
230115;1100;0,1;;;
230115;1200;0,1;;;
230115;1300;0,1;;;
230115;1400;0,1;;;
230115;1500;0,1;;;
230115;1600;0,1;;;
230115;1700;0,1;;;
230115;1800;0,1;;;
230115;1900;0,1;;;
230115;2000;0,11;;;
230115;2100;0,13;;;
230115;2200;0,14;;;
230115;2300;0,12;;;
230116;0000;0,14;;;
230116;0100;0,12;;;
230116;0200;0,1;;;
230116;0300;0,1;;;
230116;0400;0,1;;;
230116;0500;0,13;;;
230116;0600;0,3;;;
230116;0700;0,14;;;
230116;0800;0,14;;;
230116;0900;0,16;;;
230116;1000;0,13;;;
230116;1100;0,12;;;
230116;1200;0,1;;;
230116;1300;0,11;;;
230116;1400;0,1;;;
230116;1500;0,1;;;
230116;1600;0,1;;;
230116;1700;0,1;;;
230116;1800;0,1;;;
230116;1900;0,12;;;
230116;2000;0,15;;;
230116;2100;0,13;;;
230116;2200;0,11;;;
230116;2300;0,14;;;
230117;0000;0,1;;;
230117;0100;0,12;;;
230117;0200;0,14;;;
230117;0300;0,12;;;
230117;0400;0,11;;;
230117;0500;0,17;;;
230117;0600;0,15;;;
230117;0700;0,13;;;
230117;0800;0,13;;;
230117;0900;0,11;;;
230117;1000;0,12;;;
230117;1100;0,12;;;
230117;1200;0,1;;;
230117;1300;0,1;;;
230117;1400;0,1;;;
230117;1500;0,11;;;
230117;1600;0,1;;;
230117;1700;0,1;;;
230117;1800;0,1;;;
230117;1900;0,1;;;
230117;2000;0,1;;;
230117;2100;0,12;;;
230117;2200;0,12;;;
230117;2300;0,16;;;
230118;0000;0,13;;;
230118;0100;0,1;;;
230118;0200;0,1;;;
230118;0300;0,1;;;
230118;0400;0,1;;;
230118;0500;0,25;;;
230118;0600;0,18;;;
230118;0700;0,12;;;
230118;0800;0,11;;;
230118;0900;0,1;;;
230118;1000;0,1;;;
230118;1100;0,1;;;
230118;1200;0,1;;;
230118;1300;0,1;;;
230118;1400;0,1;;;
230118;1500;0,1;;;
230118;1600;0,1;;;
230118;1700;0,1;;;
230118;1800;0,1;;;
230118;1900;0,1;;;
230118;2000;0,1;;;
230118;2100;0,27;;;
230118;2200;0,13;;;
230118;2300;0,3;;;
230119;0000;0,15;;;
230119;0100;0,15;;;
230119;0200;0,11;;;
230119;0300;0,12;;;
230119;0400;0,1;;;
230119;0500;0,11;;;
230119;0600;0,2;;;
230119;0700;0,1;;;
230119;0800;0,12;;;
230119;0900;0,11;;;
230119;1000;0,1;;;
230119;1100;0,1;;;
230119;1200;0,1;;;
230119;1300;0,1;;;
230119;1400;0,1;;;
230119;1500;0,1;;;
230119;1600;0,1;;;
230119;1700;0,1;;;
230119;1800;0,1;;;
230119;1900;0,1;;;
230119;2000;0,11;;;
