FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230101;0100;1;;;
230101;0200;1;;;
230101;0300;1;;;
230101;0400;1;;;
230101;0500;1;;;
230101;0600;1;;;
230101;0700;1;;;
230101;0800;1;;;
230101;0900;1;;;
230101;1000;1;;;
230101;1100;1;;;
230101;1200;1;;;
230101;1300;1;;;
230101;1400;1;;;
230101;1500;1;;;
230101;1600;1;;;
230101;1700;1;;;
230101;1800;1;;;
230101;1900;1;;;
230101;2000;1;;;
230101;2100;1;;;
230101;2200;1;;;
230101;2300;1;;;
230102;0000;1;;;
230102;0100;1;;;
230102;0200;1;;;
230102;0300;1;;;
230102;0400;1;;;
230102;0500;1;;;
230102;0600;1;;;
230102;0700;1;;;
230102;0800;1;;;
230102;0900;1;;;
230102;1000;1;;;
230102;1100;1;;;
230102;1200;1;;;
230102;1300;1;;;
230102;1400;1;;;
230102;1500;1;;;
230102;1600;1;;;
230102;1700;1;;;
230102;1800;1;;;
230102;1900;1;;;
230102;2000;1;;;
230102;2100;1;;;
230102;2200;1;;;
230102;2300;1;;;
230103;0000;1;;;
230103;0100;1;;;
230103;0200;1;;;
230103;0300;1;;;
230103;0400;1;;;
230103;0500;1;;;
230103;0600;1;;;
230103;0700;1;;;
230103;0800;1;;;
230103;0900;1;;;
230103;1000;1;;;
230103;1100;1;;;
230103;1200;1;;;
230103;1300;1;;;
230103;1400;1;;;
230103;1500;1;;;
230103;1600;1;;;
230103;1700;1;;;
230103;1800;1;;;
230103;1900;1;;;
230103;2000;1;;;
230103;2100;1;;;
230103;2200;1;;;
230103;2300;1;;;
230104;0000;1;;;
230104;0100;1;;;
230104;0200;1;;;
230104;0300;1;;;
230104;0400;1;;;
230104;0500;1;;;
230104;0600;1;;;
230104;0700;1;;;
230104;0800;1;;;
230104;0900;1;;;
230104;1000;1;;;
230104;1100;1;;;
230104;1200;1;;;
230104;1300;1;;;
230104;1400;1;;;
230104;1500;1;;;
230104;1600;1;;;
230104;1700;1;;;
230104;1800;1;;;
230104;1900;1;;;
230104;2000;1;;;
230104;2100;1;;;
230104;2200;1;;;
230104;2300;1;;;
230105;0000;1;;;
230105;0100;1;;;
230105;0200;1;;;
230105;0300;1;;;
230105;0400;1;;;
230105;0500;1;;;
230105;0600;1;;;
230105;0700;1;;;
230105;0800;1;;;
230105;0900;1;;;
230105;1000;1;;;
230105;1100;1;;;
230105;1200;1;;;
230105;1300;1;;;
230105;1400;1;;;
230105;1500;;;;
230105;1600;1;;;
230105;1700;1;;;
230105;1800;1;;;
230105;1900;1;;;
230105;2000;1;;;
230105;2100;1;;;
230105;2200;1;;;
230105;2300;1;;;
230106;0000;1;;;
230106;0100;1;;;
230106;0200;1;;;
230106;0300;1;;;
230106;0400;1;;;
230106;0500;1;;;
230106;0600;1;;;
230106;0700;1;;;
230106;0800;1;;;
230106;0900;1;;;
230106;1000;1;;;
230106;1100;1;;;
230106;1200;1;;;
230106;1300;1;;;
230106;1400;1;;;
230106;1500;1;;;
230106;1600;1;;;
230106;1700;1;;;
230106;1800;1;;;
230106;1900;1;;;
230106;2000;1;;;
230106;2100;1;;;
230106;2200;1;;;
230106;2300;1;;;
230107;0000;1;;;
230107;0100;1;;;
230107;0200;1;;;
230107;0300;1;;;
230107;0400;1;;;
230107;0500;1;;;
230107;0600;1;;;
230107;0700;1;;;
230107;0800;1;;;
230107;0900;1;;;
230107;1000;1;;;
230107;1100;1;;;
230107;1200;1;;;
230107;1300;1;;;
230107;1400;1;;;
230107;1500;1;;;
230107;1600;1;;;
230107;1700;1;;;
230107;1800;1;;;
230107;1900;1;;;
230107;2000;1;;;
230107;2100;1;;;
230107;2200;1;;;
230107;2300;1;;;
230108;0000;1;;;
230108;0100;1;;;
230108;0200;1;;;
230108;0300;1;;;
230108;0400;1;;;
230108;0500;1;;;
230108;0600;1;;;
230108;0700;1;;;
230108;0800;1;;;
230108;0900;1;;;
230108;1000;1;;;
230108;1100;1;;;
230108;1200;1;;;
230108;1300;1;;;
230108;1400;1;;;
230108;1500;1;;;
230108;1600;1;;;
230108;1700;1;;;
230108;1800;1;;;
230108;1900;1;;;
230108;2000;1;;;
230108;2100;1;;;
230108;2200;1;;;
230108;2300;1;;;
230109;0000;1;;;
230109;0100;1;;;
230109;0200;1;;;
230109;0300;1;;;
230109;0400;1;;;
230109;0500;1;;;
230109;0600;1;;;
230109;0700;1;;;
230109;0800;1;;;
230109;0900;1;;;
230109;1000;1;;;
230109;1100;1;;;
230109;1200;1;;;
230109;1300;1;;;
230109;1400;1;;;
230109;1500;1;;;
230109;1600;1;;;
230109;1700;1;;;
230109;1800;1;;;
230109;1900;1;;;
230109;2000;1;;;
230109;2100;1;;;
230109;2200;1;;;
230109;2300;1;;;
230110;0000;1;;;
230110;0100;1;;;
230110;0200;1;;;
230110;0300;1;;;
230110;0400;1;;;
230110;0500;1;;;
230110;0600;1;;;
230110;0700;1;;;
230110;0800;1;;;
230110;0900;1;;;
230110;1000;1;;;
230110;1100;1;;;
230110;1200;1;;;
230110;1300;1;;;
230110;1400;1;;;
230110;1500;1;;;
230110;1600;1;;;
230110;1700;1;;;
230110;1800;1;;;
230110;1900;1;;;
230110;2000;1;;;
230110;2100;1;;;
230110;2200;1;;;
230110;2300;1;;;
230111;0000;1;;;
230111;0100;1;;;
230111;0200;1;;;
230111;0300;1;;;
230111;0400;1;;;
230111;0500;1;;;
230111;0600;1;;;
230111;0700;1;;;
230111;0800;1;;;
230111;0900;1;;;
230111;1000;1;;;
230111;1100;1;;;
230111;1200;1;;;
230111;1300;1;;;
230111;1400;1;;;
230111;1500;1;;;
230111;1600;1;;;
230111;1700;1;;;
230111;1800;1;;;
230111;1900;1;;;
230111;2000;1;;;
230111;2100;1;;;
230111;2200;1;;;
230111;2300;1;;;
230112;0000;1;;;
230112;0100;1;;;
230112;0200;1;;;
230112;0300;1;;;
230112;0400;1;;;
230112;0500;1;;;
230112;0600;1;;;
230112;0700;1;;;
230112;0800;1;;;
230112;0900;1;;;
