FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230112;1100;6;;;
230112;1200;5;;;
230112;1300;5;;;
230112;1400;5;;;
230112;1500;15;;;
230112;1600;7;;;
230112;1700;8;;;
230112;1800;6;;;
230112;1900;16;;;
230112;2000;20;;;
230112;2100;10;;;
230112;2200;9;;;
230112;2300;16;;;
230113;0000;10;;;
230113;0100;13;;;
230113;0200;11;;;
230113;0300;7;;;
230113;0400;2;;;
230113;0500;2;;;
230113;0600;4;;;
230113;0700;6;;;
230113;0800;6;;;
230113;0900;7;;;
230113;1000;9;;;
230113;1100;9;;;
230113;1200;13;;;
230113;1300;8;;;
230113;1400;4;;;
230113;1500;4;;;
230113;1600;3;;;
230113;1700;6;;;
230113;1800;7;;;
230113;1900;7;;;
230113;2000;16;;;
230113;2100;8;;;
230113;2200;9;;;
230113;2300;6;;;
230114;0000;2;;;
230114;0100;2;;;
230114;0200;6;;;
230114;0300;5;;;
230114;0400;2;;;
230114;0500;6;;;
230114;0600;6;;;
230114;0700;14;;;
230114;0800;10;;;
230114;0900;7;;;
230114;1000;5;;;
230114;1100;7;;;
230114;1200;5;;;
230114;1300;5;;;
230114;1400;5;;;
230114;1500;6;;;
230114;1600;6;;;
230114;1700;5;;;
230114;1800;7;;;
230114;1900;10;;;
230114;2000;17;;;
230114;2100;18;;;
230114;2200;63;;;
230114;2300;27;;;
230115;0000;24;;;
230115;0100;3;;;
230115;0200;11;;;
230115;0300;6;;;
230115;0400;3;;;
230115;0500;6;;;
230115;0600;19;;;
230115;0700;6;;;
230115;0800;6;;;
230115;0900;9;;;
230115;1000;10;;;
230115;1100;6;;;
230115;1200;3;;;
230115;1300;4;;;
230115;1400;7;;;
230115;1500;6;;;
230115;1600;4;;;
230115;1700;7;;;
230115;1800;4;;;
230115;1900;5;;;
230115;2000;8;;;
230115;2100;6;;;
230115;2200;13;;;
230115;2300;9;;;
230116;0000;8;;;
230116;0100;5;;;
230116;0200;3;;;
230116;0300;2;;;
230116;0400;4;;;
230116;0500;6;;;
230116;0600;24;;;
230116;0700;10;;;
230116;0800;11;;;
230116;0900;13;;;
230116;1000;9;;;
230116;1100;6;;;
230116;1200;5;;;
230116;1300;7;;;
230116;1400;8;;;
230116;1500;5;;;
230116;1600;4;;;
230116;1700;3;;;
